size	countSort	quickSort	mergeSort	bubbleSort	insertSort	gnomeSort
100	0.000085	0.000003	0.000009	0.000006	0.000008	0.000011	
133	0.000079	0.000004	0.000013	0.000011	0.000021	0.000029	
177	0.000083	0.000006	0.000016	0.000018	0.000021	0.000032	
236	0.000079	0.000008	0.000021	0.000032	0.000033	0.000050	
314	0.000094	0.000020	0.000041	0.000065	0.000092	0.000098	
418	0.000080	0.000016	0.000040	0.000097	0.000112	0.000169	
557	0.000079	0.000021	0.000049	0.000172	0.000216	0.000297	
742	0.000082	0.000029	0.000082	0.000305	0.000393	0.000576	
989	0.000075	0.000036	0.000093	0.000542	0.000684	0.000987	
1318	0.000086	0.000050	0.000121	0.000894	0.001177	0.001623	
1757	0.000079	0.000066	0.000159	0.001532	0.001944	0.002977	
2342	0.000090	0.000099	0.000221	0.002806	0.003360	0.004925	
3122	0.000085	0.000124	0.000293	0.004857	0.006132	0.008552	
4162	0.000095	0.000177	0.000393	0.008615	0.011440	0.015491	
5549	0.000102	0.000236	0.000564	0.015430	0.020457	0.028466	
7398	0.000126	0.000336	0.000738	0.027324	0.034896	0.050927	
9864	0.000133	0.000447	0.000983	0.048924	0.063169	0.088212	
13152	0.000155	0.000607	0.001322	0.086753	0.114526	0.159913	
17536	0.000188	0.000823	0.001930	0.154883	0.202688	0.281029	
23381	0.000201	0.001124	0.002466	0.273956	0.355570	0.508586	
31174	0.000256	0.001579	0.003409	0.488540	0.649144	0.899036	
41565	0.000308	0.002091	0.004529	0.864197	1.167708	1.608296	
55420	0.000412	0.002838	0.006105	1.537601	2.017498	2.831572	
73893	0.000486	0.003797	0.008268	2.734435	3.642689	5.067155	
98524	0.000603	0.005173	0.011281	4.864902	6.437965	8.967560	
131365	0.002138	0.008395	0.021154	14.709586	18.545298	28.534264	
175153	0.002729	0.021012	0.037121	27.996494	
